,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,Y_R
236,서울특별시,양천구,신정3동,1115066,1147064000,2020,5.5527987
237,서울특별시,양천구,신정4동,1115072,1147065000,2020,3.0368724
238,서울특별시,양천구,신정6동,1115069,1147067000,2020,7.419365
239,서울특별시,양천구,신정7동,1115070,1147068000,2020,5.750092
240,서울특별시,강서구,염창동,1116051,1150051000,2020,5.753831
241,서울특별시,강서구,등촌1동,1116052,1150052000,2020,2.2248085
242,서울특별시,강서구,등촌2동,1116053,1150053000,2020,3.413195
243,서울특별시,강서구,등촌3동,1116054,1150053500,2020,2.7770824
244,서울특별시,강서구,화곡1동,1116073,1150054000,2020,2.1866763
245,서울특별시,강서구,화곡2동,1116057,1150055000,2020,3.86303
246,서울특별시,강서구,화곡3동,1116058,1150056000,2020,3.4392471
247,서울특별시,강서구,화곡4동,1116059,1150057000,2020,3.010754
248,서울특별시,강서구,화곡본동,1116055,1150059000,2020,3.416298
249,서울특별시,강서구,화곡6동,1116061,1150059100,2020,3.0391834
250,서울특별시,강서구,화곡8동,1116063,1150059300,2020,2.9994054
251,서울특별시,강서구,가양1동,1116064,1150060300,2020,2.5163233
252,서울특별시,강서구,가양2동,1116065,1150060400,2020,1.3527586
253,서울특별시,강서구,가양3동,1116066,1150060500,2020,1.4227563
254,서울특별시,강서구,발산1동,1116067,1150061100,2020,6.6581974
255,서울특별시,강서구,우장산동,1116074,1150061500,2020,6.457947
256,서울특별시,강서구,공항동,1116069,1150062000,2020,3.2258437
257,서울특별시,강서구,방화1동,1116070,1150063000,2020,5.0109243
258,서울특별시,강서구,방화2동,1116071,1150064000,2020,2.8747082
259,서울특별시,강서구,방화3동,1116072,1150064100,2020,3.2880604
260,서울특별시,구로구,신도림동,1117051,1153051000,2020,5.2510223
261,서울특별시,구로구,구로1동,1117052,1153052000,2020,5.1239166
262,서울특별시,구로구,구로2동,1117071,1153053000,2020,2.6459086
263,서울특별시,구로구,구로3동,1117054,1153054000,2020,3.1048863
264,서울특별시,구로구,구로4동,1117055,1153055000,2020,2.4204044
265,서울특별시,구로구,구로5동,1117056,1153056000,2020,2.4983308
266,서울특별시,구로구,가리봉동,1117070,1153059500,2020,1.3940732
267,서울특별시,구로구,고척1동,1117061,1153072000,2020,3.9189668
268,서울특별시,구로구,고척2동,1117062,1153073000,2020,3.8972783
269,서울특별시,구로구,개봉1동,1117072,1153074000,2020,3.252672
270,서울특별시,구로구,개봉2동,1117064,1153075000,2020,3.4627082
271,서울특별시,구로구,개봉3동,1117065,1153076000,2020,3.3050172
272,서울특별시,구로구,오류1동,1117067,1153077000,2020,2.360074
273,서울특별시,구로구,오류2동,1117073,1153078000,2020,5.612574
274,서울특별시,구로구,항동,1117074,1153080000,2020,4.3020144
275,서울특별시,구로구,수궁동,1117069,1153079000,2020,3.8454735
276,서울특별시,금천구,가산동,1118051,1154551000,2020,1.2607471
277,서울특별시,금천구,독산1동,1118052,1154561000,2020,2.7404683
278,서울특별시,금천구,독산2동,1118053,1154562000,2020,2.9240825
279,서울특별시,금천구,독산3동,1118054,1154563000,2020,2.3490293
280,서울특별시,금천구,독산4동,1118055,1154564000,2020,2.8628712
281,서울특별시,금천구,시흥1동,1118057,1154567000,2020,3.1258218
282,서울특별시,금천구,시흥2동,1118058,1154568000,2020,5.046934
283,서울특별시,금천구,시흥3동,1118059,1154569000,2020,2.827521
284,서울특별시,금천구,시흥4동,1118060,1154570000,2020,3.3764005
285,서울특별시,금천구,시흥5동,1118061,1154571000,2020,3.0694592
286,서울특별시,영등포구,영등포본동,1119073,1156051500,2020,2.5814517
287,서울특별시,영등포구,영등포동,1119074,1156053500,2020,1.4126893
288,서울특별시,영등포구,여의동,1119054,1156054000,2020,4.6501245
289,서울특별시,영등포구,당산1동,1119055,1156055000,2020,2.1615903
290,서울특별시,영등포구,당산2동,1119056,1156056000,2020,3.1284878
291,서울특별시,영등포구,도림동,1119075,1156058500,2020,2.3558552
292,서울특별시,영등포구,문래동,1119076,1156060500,2020,4.8561916
293,서울특별시,영등포구,양평1동,1119061,1156061000,2020,2.812626
294,서울특별시,영등포구,양평2동,1119062,1156062000,2020,3.1799822
295,서울특별시,영등포구,신길1동,1119063,1156063000,2020,2.043563
296,서울특별시,영등포구,신길3동,1119065,1156065000,2020,3.2247276
297,서울특별시,영등포구,신길4동,1119066,1156066000,2020,3.482016
298,서울특별시,영등포구,신길5동,1119067,1156067000,2020,3.3458788
299,서울특별시,영등포구,신길6동,1119068,1156068000,2020,2.6017375
300,서울특별시,영등포구,신길7동,1119069,1156069000,2020,4.179703
301,서울특별시,영등포구,대림1동,1119070,1156070000,2020,2.5396771
302,서울특별시,영등포구,대림2동,1119071,1156071000,2020,2.0433557
303,서울특별시,영등포구,대림3동,1119072,1156072000,2020,2.834948
304,서울특별시,동작구,노량진1동,1120072,1159051000,2020,2.9839013
305,서울특별시,동작구,노량진2동,1120052,1159052000,2020,1.8503433
306,서울특별시,동작구,상도1동,1120053,1159053000,2020,3.5583198
307,서울특별시,동작구,상도2동,1120054,1159054000,2020,3.4486647
308,서울특별시,동작구,상도3동,1120055,1159055000,2020,2.9731143
309,서울특별시,동작구,상도4동,1120056,1159056000,2020,3.1642885
310,서울특별시,동작구,흑석동,1120071,1159060500,2020,3.283906
311,서울특별시,동작구,사당1동,1120063,1159062000,2020,1.6183087
312,서울특별시,동작구,사당2동,1120073,1159063000,2020,2.790036
313,서울특별시,동작구,사당3동,1120065,1159064000,2020,3.379458
314,서울특별시,동작구,사당4동,1120066,1159065000,2020,2.228833
315,서울특별시,동작구,사당5동,1120067,1159065100,2020,3.3650525
316,서울특별시,동작구,대방동,1120068,1159066000,2020,5.0692873
317,서울특별시,동작구,신대방1동,1120069,1159067000,2020,5.1914625
318,서울특별시,동작구,신대방2동,1120070,1159068000,2020,4.3780317
319,서울특별시,관악구,보라매동,1121052,1162052500,2020,2.6750398
320,서울특별시,관악구,청림동,1121054,1162054500,2020,3.5659676
321,서울특별시,관악구,성현동,1121079,1162056500,2020,4.8040004
322,서울특별시,관악구,행운동,1121057,1162057500,2020,2.064603
323,서울특별시,관악구,낙성대동,1121058,1162058500,2020,2.2329984
324,서울특별시,관악구,청룡동,1121080,1162059500,2020,1.9836313
325,서울특별시,관악구,은천동,1121078,1162060500,2020,4.074979
326,서울특별시,관악구,중앙동,1121061,1162061500,2020,1.4851679
327,서울특별시,관악구,인헌동,1121062,1162062500,2020,2.6750402
328,서울특별시,관악구,남현동,1121063,1162063000,2020,1.9477576
329,서울특별시,관악구,서원동,1121064,1162064500,2020,1.4478729
330,서울특별시,관악구,신원동,1121065,1162065500,2020,1.8793207
331,서울특별시,관악구,서림동,1121066,1162066500,2020,2.0188766
332,서울특별시,관악구,신사동,1121068,1162068500,2020,2.2019126
333,서울특별시,관악구,신림동,1121069,1162069500,2020,0.75802094
334,서울특별시,관악구,난향동,1121071,1162071500,2020,4.2428637
335,서울특별시,관악구,조원동,1121072,1162072500,2020,2.2876182
336,서울특별시,관악구,대학동,1121073,1162073500,2020,1.8306223
337,서울특별시,관악구,삼성동,1121082,1162074500,2020,2.6953123
338,서울특별시,관악구,미성동,1121083,1162076500,2020,3.5559187
339,서울특별시,관악구,난곡동,1121081,1162077500,2020,3.0916908
340,서울특별시,서초구,서초1동,1122051,1165051000,2020,4.7128158
341,서울특별시,서초구,서초2동,1122052,1165052000,2020,4.6641397
342,서울특별시,서초구,서초3동,1122053,1165053000,2020,3.7270708
343,서울특별시,서초구,서초4동,1122054,1165053100,2020,7.5339055
344,서울특별시,서초구,잠원동,1122055,1165054000,2020,6.4832077
345,서울특별시,서초구,반포본동,1122056,1165055000,2020,7.1265492
346,서울특별시,서초구,반포1동,1122057,1165056000,2020,6.2283936
347,서울특별시,서초구,반포2동,1122058,1165057000,2020,10.105623
348,서울특별시,서초구,반포3동,1122059,1165058000,2020,7.0418754
349,서울특별시,서초구,반포4동,1122060,1165058100,2020,5.6002064
350,서울특별시,서초구,방배본동,1122061,1165059000,2020,6.2747135
351,서울특별시,서초구,방배1동,1122062,1165060000,2020,3.4395273
352,서울특별시,서초구,방배2동,1122063,1165061000,2020,3.898756
353,서울특별시,서초구,방배3동,1122064,1165062000,2020,4.1022944
354,서울특별시,서초구,방배4동,1122065,1165062100,2020,5.3776093
355,서울특별시,서초구,양재1동,1122066,1165065100,2020,5.6160326
356,서울특별시,서초구,양재2동,1122067,1165065200,2020,3.4651442
357,서울특별시,서초구,내곡동,1122068,1165066000,2020,4.2151866
358,서울특별시,강남구,신사동,1123051,1168051000,2020,4.828482
359,서울특별시,강남구,논현1동,1123052,1168052100,2020,1.6517035
360,서울특별시,강남구,논현2동,1123053,1168053100,2020,2.7933207
361,서울특별시,강남구,압구정동,1123077,1168054500,2020,5.43623
362,서울특별시,강남구,청담동,1123078,1168056500,2020,4.2089605
363,서울특별시,강남구,삼성1동,1123058,1168058000,2020,4.3129716
364,서울특별시,강남구,삼성2동,1123059,1168059000,2020,6.164841
365,서울특별시,강남구,대치1동,1123060,1168060000,2020,11.76339
366,서울특별시,강남구,대치2동,1123079,1168061000,2020,7.858165
367,서울특별시,강남구,대치4동,1123063,1168063000,2020,4.6164412
368,서울특별시,강남구,역삼1동,1123064,1168064000,2020,1.6705003
369,서울특별시,강남구,역삼2동,1123065,1168065000,2020,8.01899
370,서울특별시,강남구,도곡1동,1123066,1168065500,2020,5.735386
371,서울특별시,강남구,도곡2동,1123067,1168065600,2020,7.1637053
372,서울특별시,강남구,개포1동,1123068,1168066000,2020,4.631508
373,서울특별시,강남구,개포2동,1123080,1168067000,2020,5.0764112
374,서울특별시,강남구,개포4동,1123071,1168069000,2020,4.6113005
375,서울특별시,강남구,세곡동,1123076,1168070000,2020,5.9016075
376,서울특별시,강남구,일원본동,1123072,1168072000,2020,7.7904334
377,서울특별시,강남구,일원1동,1123073,1168073000,2020,3.308448
378,서울특별시,강남구,일원2동,1123074,1168074000,2020,4.876835
379,서울특별시,강남구,수서동,1123075,1168075000,2020,1.5515724
380,서울특별시,송파구,풍납1동,1124051,1171051000,2020,2.9775555
381,서울특별시,송파구,풍납2동,1124052,1171052000,2020,3.933694
382,서울특별시,송파구,거여1동,1124053,1171053100,2020,3.526194
