,SD,SGG,NAME_AD,CODE,CODE_AD,ALL,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_99,100_,YEAR
92,서울특별시,동대문구,이문1동,1106089,1123074000,23287.0,459.0,602.0,684.0,1059.0,2548.0,2593.0,1619.0,1504.0,1481.0,1888.0,1718.0,1667.0,1584.0,1104.0,993.0,927.0,522.0,202.0,80.0,24.0,29.0,2018
93,서울특별시,동대문구,이문2동,1106090,1123075000,21448.0,620.0,898.0,962.0,1084.0,1452.0,1439.0,1220.0,1655.0,1606.0,1965.0,1786.0,1714.0,1530.0,1107.0,950.0,765.0,434.0,178.0,62.0,15.0,6.0,2018
94,서울특별시,중랑구,면목2동,1107052,1126052000,26112.0,773.0,828.0,855.0,1101.0,1661.0,1897.0,1795.0,2068.0,1834.0,2358.0,2520.0,2475.0,1991.0,1349.0,1083.0,815.0,417.0,201.0,66.0,17.0,8.0,2018
95,서울특별시,중랑구,면목4동,1107054,1126054000,20422.0,629.0,648.0,620.0,866.0,1302.0,1594.0,1420.0,1735.0,1462.0,1783.0,1692.0,1725.0,1555.0,1172.0,990.0,736.0,281.0,135.0,47.0,22.0,8.0,2018
96,서울특별시,중랑구,면목5동,1107055,1126055000,9951.0,309.0,294.0,302.0,446.0,617.0,722.0,738.0,763.0,651.0,901.0,946.0,930.0,764.0,542.0,405.0,350.0,175.0,65.0,23.0,5.0,3.0,2018
97,서울특별시,중랑구,면목본동,1107071,1126056500,35747.0,1077.0,927.0,940.0,1442.0,2388.0,2988.0,2912.0,2955.0,2454.0,3076.0,3241.0,3275.0,2638.0,1913.0,1466.0,1130.0,568.0,239.0,64.0,30.0,24.0,2018
98,서울특별시,중랑구,면목7동,1107057,1126057000,21960.0,609.0,631.0,553.0,830.0,1361.0,1818.0,1609.0,1679.0,1505.0,1733.0,1903.0,2188.0,1841.0,1278.0,1004.0,745.0,399.0,193.0,52.0,16.0,13.0,2018
99,서울특별시,중랑구,면목3·8동,1107072,1126057500,26663.0,715.0,636.0,705.0,1151.0,1786.0,2119.0,1888.0,2054.0,1711.0,2280.0,2390.0,2546.0,2238.0,1459.0,1260.0,946.0,475.0,195.0,85.0,15.0,9.0,2018
100,서울특별시,중랑구,상봉1동,1107059,1126058000,25466.0,934.0,1056.0,1003.0,1301.0,1824.0,1983.0,1834.0,2014.0,1763.0,2092.0,2203.0,2348.0,1821.0,1121.0,850.0,705.0,397.0,142.0,61.0,12.0,2.0,2018
101,서울특별시,중랑구,상봉2동,1107060,1126059000,18921.0,536.0,359.0,362.0,612.0,1257.0,2134.0,2130.0,1702.0,1252.0,1447.0,1528.0,1647.0,1316.0,931.0,709.0,533.0,267.0,133.0,39.0,15.0,12.0,2018
102,서울특별시,중랑구,중화1동,1107061,1126060000,20848.0,790.0,709.0,632.0,895.0,1341.0,1755.0,1675.0,1805.0,1395.0,1504.0,1766.0,1911.0,1636.0,1092.0,770.0,625.0,352.0,119.0,57.0,14.0,5.0,2018
103,서울특별시,중랑구,중화2동,1107062,1126061000,28044.0,677.0,571.0,595.0,1041.0,1800.0,2181.0,2132.0,2105.0,1748.0,2376.0,2660.0,2961.0,2506.0,1534.0,1252.0,1055.0,545.0,192.0,79.0,22.0,12.0,2018
104,서울특별시,중랑구,묵1동,1107064,1126062000,36069.0,1283.0,1509.0,1549.0,1777.0,2275.0,2650.0,2597.0,3080.0,2821.0,3230.0,2739.0,2962.0,2473.0,1750.0,1401.0,1032.0,591.0,228.0,77.0,25.0,20.0,2018
105,서울특별시,중랑구,묵2동,1107065,1126063000,20111.0,680.0,618.0,633.0,756.0,1288.0,1691.0,1667.0,1753.0,1378.0,1651.0,1579.0,1751.0,1623.0,1094.0,828.0,632.0,305.0,119.0,48.0,9.0,8.0,2018
106,서울특별시,중랑구,망우본동,1107073,1126065500,31433.0,905.0,861.0,882.0,1317.0,2061.0,2337.0,2089.0,2389.0,1953.0,2627.0,2833.0,3223.0,2747.0,1823.0,1347.0,1055.0,584.0,255.0,97.0,31.0,17.0,2018
