,SGG_cd,SD,SGG,ALL,N_AGING,A_R,N_YOUNG,Y_R
215,3811,경상남도,창원시 의창구,1057032.0,124875.0,11.81,143458.0,13.57
216,3831,경상남도,의령군,27849.0,9630.0,34.58,2107.0,7.57
217,3832,경상남도,함안군,68207.0,14443.0,21.18,8495.0,12.45
218,3833,경상남도,창녕군,64101.0,17724.0,27.65,5722.0,8.93
219,3834,경상남도,고성군,54060.0,14842.0,27.45,5330.0,9.86
220,3835,경상남도,남해군,44642.0,15837.0,35.48,3213.0,7.2
221,3836,경상남도,하동군,48831.0,14721.0,30.15,3929.0,8.05
222,3837,경상남도,산청군,36340.0,11916.0,32.79,2879.0,7.92
223,3838,경상남도,함양군,40175.0,12558.0,31.26,3655.0,9.1
224,3839,경상남도,거창군,62763.0,15981.0,25.46,6978.0,11.12
225,3840,경상남도,합천군,47000.0,17174.0,36.54,3224.0,6.86
226,3901,제주특별자치도,제주시,478700.0,61653.0,12.88,74805.0,15.63
227,3902,제주특별자치도,서귀포시,178383.0,31464.0,17.64,23922.0,13.41
